№ of the participant,gender,audio,video,response,time of reaction,knowledge about McGurk,number in the routine,comment
1,f,p,p,p,4.949801164090331,no,6,
1,f,p,k,p,7.749600648666274,no,1,
1,f,p,t,p,2.950567676055016,no,9,
1,f,k,p,k,34.986922643407524,no,3,
1,f,k,k,k,3.084831833899443,no,7,
1,f,k,t,k,13.245848798866973,no,2,
1,f,t,p,t,5.415399099406841,no,8,
1,f,t,k,t,9.297351124995203,no,4,
1,f,t,t,t,12.31228201295471,no,5,
2,f,p,p,p,2.6834104977024253,yes,6,
2,f,p,k,t,5.249022615607828,yes,2,
2,f,p,t,p,19.250985315447906,yes,8,
2,f,k,p,k,2.650515331173665,yes,3,
2,f,k,k,k,6.73215142133995,yes,1,
2,f,k,t,t,2.8343181822419865,yes,4,
2,f,t,p,t,1.5161270758399041,yes,7,
2,f,t,k,t,1.966901892068563,yes,5,
2,f,t,t,t,1.30115382677468,yes,9,
3,m,p,p,p,3.5504624264431186,yes,6,
3,m,p,k,p,3.284981497345143,yes,3,
3,m,p,t,p,2.535383181326324,yes,2,
3,m,k,p,kapka,4.650038069012226,yes,8,
3,m,k,k,k,5.41645812689967,yes,7,
3,m,k,t,k,20.89126400295936,yes,1,
3,m,t,p,tata/tapta,5.548933601297904,yes,9,п' стоит под вопросом
3,m,t,k,t,4.485028990296996,yes,4,
3,m,t,t,t,4.316879218618851,yes,5,
4,f,p,p,p,3.0326992231421173,yes,8,
4,f,p,k,t,6.396811067636008,yes,1,
4,f,p,t,t,3.6661670109751867,yes,4,
4,f,k,p,k,3.0643907372868853,yes,6,
4,f,k,k,k,2.21750885010988,yes,7,
4,f,k,t,k,3.3993121453095227,yes,2,
4,f,t,p,t,2.9487687289365567,yes,9,
4,f,t,k,t,3.382361174095422,yes,3,
4,f,t,t,t,2.2335850739764282,yes,5,
5,f,p,p,p,2.6523506677913247,no,7,
5,f,p,k,p,3.051100642143865,no,6,
5,f,p,t,p,3.833405179248075,no,3,
5,f,k,p,k,44.697917774668895,no,4,
5,f,k,k,k,3.217135624567163,no,8,
5,f,k,t,k,5.87680571184319,no,1,
5,f,t,p,t,3.4162537859083386,no,9,
5,f,t,k,t,3.9324480423383648,no,5,
5,f,t,t,t,4.3172239857085515,no,2,
6,m,p,p,p,5.198269073225674,yes,7,
6,m,p,k,p,25.041093532185187,yes,8,написан коммент: но тут что-то по губам явно не па-па
6,m,p,t,p,5.0185866321844514,yes,4,
6,m,k,p,k,11.761962345277425,yes,1,
6,m,k,k,k,4.368326027441071,yes,9,
6,m,k,t,k,8.080563999785227,yes,2,
6,m,t,p,t,10.99516766225861,yes,3,
6,m,t,k,t,5.31753329638741,yes,5,
6,m,t,t,t,5.381793404725613],yes,6,
7,m,p,p,p,8.47369228888,no,9,
7,m,p,k,p,2.95002981136,no,7,
7,m,p,t,p,3.18381900818,no,3,
7,m,k,p,k,5.18839661524,no,1,
7,m,k,k,k,2.41879739377,no,5,
7,m,k,t,k,2.787263037,no,8,
7,m,t,p,t,3.68272125954,no,2,
7,m,t,k,t,1.5361459273,no,6,
7,m,t,t,t,2.73512440996,no,4,