â„– of the participant,gender,audio,video,response,time of reaction,knowledge about McGurk,number in the routine,comment
1,f,b,b,b,2.7168379771921991,yes,7,
1,f,b,g,b,2.4365241318307653,yes,6,
1,f,b,d,b,2.45137897508539027,yes,5,
1,f,d,b,d,3.3012014130317766,yes,1,
1,f,d,g,g,20.87502869171385,yes,3,
1,f,d,d,d,2.23455639344683732,yes,9,
1,f,g,b,g,2.8541397244475775,yes,4,
1,f,g,g,g,3.2715938970159186,yes,2,
1,f,g,d,g,3.1832378808999238,yes,8,
2,f,b,b,b,2.41946399213247787,yes,5,
2,f,b,g,b,2.47813318180374154,yes,4,
2,f,b,d,b,2.3027820232184695,yes,9,
2,f,d,b,d,2.3514123787715562,yes,7,
2,f,d,g,d,2.4373284328819409,yes,6,
2,f,d,d,d,2.6339193907465415,yes,2,
2,f,g,b,g,3.2177519132474117,yes,1,
2,f,g,g,g,2.6367405093410525,yes,3,
2,f,g,d,g,2.352850230186732,yes,8,
3,m,b,b,b,3.0515429144063546,yes,6,
3,m,b,g,b,4.451769462312626,yes,1,
3,m,b,d,b,2.5363120464143094,yes,8,
3,m,d,b,d,2.8367884688234994,yes,7,
3,m,d,g,d,6.900564783557172,yes,2,
3,m,d,d,d,3.6360061880795342,yes,5,
3,m,g,b,g,4.783461069776365,yes,4,
3,m,g,g,g,3.1010106947779832,yes,9,
3,m,g,d,g,3.201132646225119,yes,3,
4,f,b,b,b,2.6533204446241143,yes,7,
4,f,b,g,b,2.9523843958268117,yes,3,
4,f,b,d,b,2.7996620445828739,yes,5,
4,f,d,b,d,2.40091570802178467,yes,4,
4,f,d,g,d,2.6803046264049044,yes,1,
4,f,d,d,d,4.0172462698483287,yes,8,
4,f,g,b,g,2.7696701342410961,yes,2,
4,f,g,g,g,2.42877183717246226,yes,9,
4,f,g,d,g,2.4534462215160602,yes,6,
5,f,b,b,b,2.35468570242,no,5,
5,f,b,g,b,8.24705315381,no,4,
5,f,b,d,b,11.0131025371,no,1,
5,f,d,b,d,2.29951042187,no,6,
5,f,d,g,d,2.68395057006,no,9,
5,f,d,d,d,2.53315079509,no,8,
5,f,g,b,g,5.66653634887,no,2,
5,f,g,g,g,2.62154451787,no,7,
5,f,g,d,g,4.549205077,no,3,
6,m,b,b,b,3.61896786437,no,4,
6,m,b,g,b,6.75088990881,no,9,
6,m,b,d,b,4.81605269568,no,7,
6,m,d,b,mda,5.21442860621,no,3,
6,m,d,g,d,2.90882481646,no,6,
6,m,d,d,d,3.100809992,no,8,
6,m,g,b,bega,6.59231631958,no,2,
6,m,g,g,nga,24.7062787675,no,1,
6,m,g,d,nga,3.66557296133,no,5,
7,f,b,b,b,2.17582312482,no,2,
7,f,b,g,b,1.5527619131,no,5,
7,f,b,d,b,1.46739178104,no,6,
7,f,d,b,d,0.992611540714,no,7,
7,f,d,g,d,1.21916110168,no,4,
7,f,d,d,d,18.178483754,no,1,
7,f,g,b,g,1.16787156201,no,8,
7,f,g,g,g,1.4455067885,no,9,
7,f,g,d,g,1.40152033285,no,3,